Time,A,Angry,Blink,Blink_L,Blink_R,E,Fun,I,Joy,LookDown,LookLeft,LookRight,LookUp,Neutral,O,Sorrow,Surprised,U
19.31438,0.0008637127,0,0,0,0,5.100479E-08,0,0.05179552,0,0,0,0,0,1,0.03086815,0,0,3.267225E-15
19.42822,0.0001537223,0,0,0,0,5.591628E-08,0,0.4202292,0,0,0,0,0,1,0.2521003,0,0,1.583607E-07
19.53681,2.735926E-05,0,0.05970419,0,0,1.615646E-09,0,0.3608025,0,0,0,0,0,1,0.2164749,0,0,1.034938E-16
19.64343,6.492481E-06,0,0.05867338,0,0,3.834004E-10,0,0.08562012,0,0,0,0,0,1,0.05137051,0,0,2.455956E-17
19.75822,1.155522E-06,0,0,0,0,6.823703E-11,0,0.01523854,0,0,0,0,0,1,0.009142846,0,0,4.371074E-18
19.86635,0.08750021,0,0,0,0,1.356822E-08,0,0.1777121,0,0,0,0,0,1,0.00162723,0,0,3.842662E-08
19.97756,0.09247746,0,0,0,0,8.073258E-09,0,0.4041875,0,0,0,0,0,1,0.1315396,0,0,2.286431E-08
20.08986,0.016459,0,0.2610273,0,0,3.156756E-09,0,0.4302131,0,0,0,0,0,1,0.238377,0,0,8.940264E-09
20.20093,0.002929349,0,1,0,0,1.15734E-09,0,0.4875794,0,0,0,0,0,1,0.2890324,0,0,3.277708E-09
20.31575,0.0005213612,0,0.9816545,0,0,4.706898E-10,0,0.2790394,0,0,0,0,0,1,0.166798,0,0,0.249875
20.43068,9.27911E-05,0,0.9488179,0,0,2.168831E-15,0,0.04966302,0,0,0,0,0,1,0.02968647,0,0,0.1828309
20.53757,2.201976E-05,0,0.9959152,0,0,5.146737E-16,0,0.01178527,0,0,0,0,0,1,0.007044737,0,0,0.04338662
20.64756,0.1874664,0,0.5278195,0,0,2.278997E-10,0,0.2020975,0,0,0,0,0,1,0.001253812,0,0,0.007721888
20.76451,0.108365,0,0.002718379,0,0,1.108938E-10,0,0.6685863,0,0,0,0,0,1,0.0002231516,0,0,0.00137433
20.88123,0.7527987,0,1.959923E-05,0,0,3.503125E-11,0,0.2172912,0,0,0,0,0,1,2.978714E-05,0,0,0.0001834509
20.99283,0.9411855,0,0,0,0,5.164191E-19,0,0.05156421,0,0,0,0,0,1,7.068628E-06,0,0,4.353376E-05
21.10475,0.4113585,0,0,0,0,9.191151E-20,0,0.009177321,0,0,0,0,0,1,1.258064E-06,0,0,7.748074E-06
21.21699,0.07321297,0,0,0,0,1.635827E-20,0,0.001633366,0,0,0,0,0,1,2.239084E-07,0,0,1.378991E-06
21.325,0.01303034,0,0,0,0,2.911421E-21,0,0.000290704,0,0,0,0,0,1,3.985087E-08,0,0,2.454307E-07
21.43607,0.01991579,0,0,0,0,0.01046842,0,0.2500226,0,0,0,0,0,1,1.681209E-08,0,0,1.035411E-07
